date,total_revenue,sarima_forecast,gbm_forecast,ensemble_forecast
2023-11-25,4311.84,3686.011295750218,722.2290150103568,1907.7419273063012
2023-11-26,3606.84,3893.0112871897477,677.3417201782606,1963.6095469828556
2023-11-27,5626.63,3880.5324076048228,669.1593612833111,1953.708579811916
2023-12-01,4451.72,3957.620455125527,1033.478877231741,2203.1355083892554
2023-12-02,6721.13,3780.2580445782323,682.1872449110181,1921.415564777904
2023-12-03,5062.88,3812.256305197314,679.2307326956677,1932.4409616963262
2023-12-04,4889.64,3877.120664736945,557.4169338087938,1885.2984261800543
2023-12-05,3554.29,3690.352857309554,723.669224631042,1910.342677702447
2023-12-06,6304.41,3917.3925723329016,796.1467709364827,2044.6450914950503
2023-12-07,4948.81,3901.251490879884,723.0392053068506,1994.324119536064
2023-12-08,4028.71,3961.1508126879758,672.1167956627397,1987.7304024728342
2023-12-09,3258.6,3793.4000271495934,769.0622745828362,1978.7973756095391
2023-12-10,4965.39,3840.119211527609,741.4826683310408,1980.9372856096682
2023-12-11,6711.26,3845.076070198481,939.4245319115904,2101.685147226347
2023-12-12,3866.28,3702.393479850444,634.7672061311278,1861.8177156188542
2023-12-13,3795.37,3929.779805588295,640.6559502788642,1956.3054924026367
2023-12-14,4539.51,3913.5753820237533,676.2981592160272,1971.2090483391175
2023-12-15,5685.61,3973.177404496566,708.461339381643,2014.3477654276123
2023-12-16,4954.41,3805.592863377571,1109.3257253741726,2187.832580575532
2023-12-17,4108.9800000000005,3852.5666635381294,663.0580840731709,1938.8615158591545
2023-12-18,4832.71,3856.487351146393,651.5304654997848,1933.513219758428
2023-12-19,22030.343490739328,3714.567266754438,654.5921922008889,1878.5822220223088
2023-12-20,3854.55,3941.9595875344316,977.8600706549164,2163.4998774067226
2023-12-21,4131.9400000000005,3925.7540683931747,654.3452131900524,1962.9087552713015
2023-12-22,4246.9,3985.350948722454,701.3382072596942,2014.9433038447983
2023-12-23,3572.7200000000003,3817.769282997261,675.4742729868163,1932.3922769909943
2023-12-24,5864.87,3864.7474870388382,695.5912888497805,1963.2537681254037
2023-12-25,5943.46,3868.6502528433975,979.9559156567329,2135.4336505313986
2023-12-26,4486.45,3726.7433568935467,1420.816974638367,2343.187527540439
2023-12-27,4740.07,3954.135781364883,1410.387684551955,2427.8869232771262
