date,sarima_forecast,gbm_forecast,ensemble_forecast,lower_80,upper_80
2026-03-10,5460.253978766047,701.0683639405306,2604.7426098707374,1495.0082002124732,3714.4770195290016
2026-03-11,5514.3188598435045,794.6575669079042,2682.5220840821444,1547.2010944244903,3817.8430737397985
2026-03-12,5349.714338437652,733.8333096353573,2580.185721156275,1450.486311914398,3709.8851303981523
2026-03-13,5401.938826502504,725.7866865701656,2596.247542543101,1466.4695919504613,3726.025493135741
2026-03-14,5422.606039394925,731.0582071676218,2607.677340058543,1473.2108392926605,3742.1438408244253
2026-03-15,5373.503269972443,774.8366623850196,2614.303305419989,1462.488736119549,3766.117874720429
2026-03-16,5479.465777162667,721.4023434124346,2624.6277169125274,1486.626687436438,3762.6287463886165
2026-03-17,5477.506492515578,881.6091481280922,2719.968085883087,1535.5152427883206,3904.420928977853
2026-03-18,5535.692948512975,837.2169121842505,2716.6073267157403,1541.9330394480191,3891.2816139834613
2026-03-19,5370.353413273904,857.5246222842497,2662.656138680112,1471.7197781117693,3853.592499248454
2026-03-20,5425.7096465393815,874.6931532642491,2695.099750574302,1497.8408155319441,3892.35868561666
2026-03-21,5446.457840031127,888.15263743369,2711.474718472665,1507.4043172125619,3915.5451197327675
2026-03-22,5395.386688702854,896.1120917445745,2695.8219305278867,1483.244182589894,3908.3996784658793
2026-03-23,5501.555634450492,873.7985044925117,2724.901356475704,1518.8153414329724,3930.9873715184353
2026-03-24,5500.6059715349165,918.3639318138021,2751.260747702248,1528.4941083230253,3974.027387081471
2026-03-25,5558.78666519703,876.3597055053526,2749.330489382023,1536.0946385600614,3962.566340203985
2026-03-26,5393.448157573913,885.4154395625147,2688.628526767074,1461.6856993541214,3915.5713541800264
2026-03-27,5448.800012375764,882.5271153689732,2709.0362741716895,1481.2714847227028,3936.801063620676
2026-03-28,5469.548092649291,911.6013895444453,2734.780070786384,1495.9478982812498,3973.6122432915186
2026-03-29,5418.479693297321,915.7273407647763,2716.828281777794,1470.4294243597249,3963.227139195863
2026-03-30,5524.6483504251455,906.156037131737,2753.5529624491005,1510.516066400388,3996.589858497813
2026-03-31,5523.697275966885,902.1678105964702,2750.7795967446364,1504.0502509778119,3997.5089425114606
2026-04-01,5581.877977685263,859.309176673879,2748.3366970784327,1511.6324523799613,3985.040941776904
2026-04-02,5416.539468625446,858.0022700401062,2681.417149474242,1433.94092423132,3928.8933747171636
2026-04-03,5471.8913295487855,861.3046530305573,2705.5393236378486,1455.5711174622243,3955.5075298134725
2026-04-04,5492.639409980602,887.0469871349907,2729.283956273235,1469.0714519865876,3989.4964605598825
2026-04-05,5441.571006781121,891.2848566321312,2711.399316691727,1443.6598782664958,3979.1387551169582
2026-04-06,5547.739664312462,907.2436185181475,2763.4420368358733,1492.0706185147233,4034.813455157023
2026-04-07,5546.788591827666,2138.5955977720937,3501.8727953943226,1884.560542807296,5119.185047981348
2026-04-08,5604.969293534782,909.1772224219771,2787.494050867099,1509.3991108776822,4065.5889908565155
